    Time	  Event	 Count	      POISSON[2]	         VARS[4]	   WAIT[VARS[5]]	           VARS[1] 
    0.000	  ENTER	     1 	      4 	      4 	      0 	      1 
    5.019	  ENTER	     2 	      2 	      4 	      0 	      1 
    5.392	  ENTER	     3 	      2 	      4 	      0 	      1 
   13.562	  ENTER	     4 	      0 	      4 	      0 	      1 
   22.456	  ENTER	     5 	      1 	      4 	      0 	      1 
   22.690	  ENTER	     6 	      3 	      4 	      0 	      1 
   25.599	  ENTER	     7 	      3 	      4 	      0 	      1 
   34.293	  ENTER	     8 	      3 	      4 	      0 	      1 
   47.422	  ENTER	     9 	      3 	      4 	      0 	      1 
   60.000	   EXIT	     1 	      3 	      4 	     60 	      8 
   60.000	   EXIT	     2 	      3 	      2 	     55 	      6 
   60.000	   EXIT	     3 	      3 	      2 	   54.6 	      4 
   60.000	   EXIT	     4 	      3 	      1 	   37.5 	      3 
   60.000	  LEAVE	     1 	      3 	      3 	   47.4 	      3 
   89.223	  ENTER	    10 	      4 	      3 	   47.4 	      3 
  102.737	  ENTER	    11 	      4 	      3 	   47.4 	      3 
  120.000	   EXIT	     5 	      4 	      3 	   97.3 	      9 
  120.000	   EXIT	     6 	      4 	      3 	   94.4 	      6 
  120.000	   EXIT	     7 	      4 	      3 	   85.7 	      3 
  120.000	  LEAVE	     2 	      4 	      4 	    103 	      3 
  125.266	  ENTER	    12 	      3 	      4 	    103 	      3 
  137.760	  ENTER	    13 	      4 	      4 	    103 	      3 
  149.568	  ENTER	    14 	      5 	      4 	    103 	      3 
  180.000	   EXIT	     8 	      5 	      3 	    133 	      9 
  180.000	   EXIT	     9 	      5 	      4 	   90.8 	      5 
  180.000	   EXIT	    10 	      5 	      4 	   77.3 	      1 
  180.000	  LEAVE	     3 	      5 	      5 	    150 	      1 
  181.056	  ENTER	    15 	      4 	      5 	    150 	      1 
  188.030	  ENTER	    16 	      2 	      5 	    150 	      1 
  205.343	  ENTER	    17 	      1 	      5 	    150 	      1 
  211.949	  ENTER	    18 	      3 	      5 	    150 	      1 
  212.625	  ENTER	    19 	      3 	      5 	    150 	      1 
  240.000	   EXIT	    11 	      3 	      3 	    115 	      9 
  240.000	   EXIT	    12 	      3 	      4 	    102 	      5 
  240.000	   EXIT	    13 	      3 	      4 	   58.9 	      1 
  240.000	  LEAVE	     4 	      3 	      3 	    213 	      1 
  276.839	  ENTER	    20 	      5 	      3 	    213 	      1 
  284.600	  ENTER	    21 	      5 	      3 	    213 	      1 
  294.065	  ENTER	    22 	      5 	      3 	    213 	      1 
  295.110	  ENTER	    23 	      3 	      3 	    213 	      1 
  300.000	   EXIT	    14 	      3 	      5 	    150 	      7 
  300.000	   EXIT	    15 	      3 	      2 	    112 	      5 
  300.000	   EXIT	    16 	      3 	      1 	   94.7 	      4 
  300.000	   EXIT	    17 	      3 	      3 	   88.1 	      1 
  300.000	  LEAVE	     5 	      3 	      3 	    295 	      1 
  315.868	  ENTER	    24 	      2 	      3 	    295 	      1 
  320.832	  ENTER	    25 	      1 	      3 	    295 	      1 
  323.614	  ENTER	    26 	      6 	      3 	    295 	      1 
  340.418	  ENTER	    27 	      3 	      3 	    295 	      1 
  342.131	  ENTER	    28 	      6 	      3 	    295 	      1 
  349.825	  ENTER	    29 	      5 	      3 	    295 	      1 
  360.000	   EXIT	    18 	      5 	      3 	    147 	      9 
  360.000	   EXIT	    19 	      5 	      5 	   83.2 	      4 
  360.000	   EXIT	    20 	      5 	      3 	   64.9 	      1 
  360.000	  LEAVE	     6 	      5 	      5 	    350 	      1 
  361.690	  ENTER	    30 	      7 	      5 	    350 	      1 
  393.331	  ENTER	    31 	      2 	      5 	    350 	      1 
  402.741	  ENTER	    32 	      4 	      5 	    350 	      1 
  408.293	  ENTER	    33 	      1 	      5 	    350 	      1 
  414.960	  ENTER	    34 	      3 	      5 	    350 	      1 
  420.000	   EXIT	    21 	      3 	      5 	    135 	      7 
  420.000	   EXIT	    22 	      3 	      5 	    126 	      2 
  420.000	   EXIT	    23 	      3 	      1 	   99.2 	      1 
  420.000	  LEAVE	     7 	      3 	      3 	    415 	      1 
  429.197	  ENTER	    35 	      4 	      3 	    415 	      1 
  433.611	  ENTER	    36 	      6 	      3 	    415 	      1 
  446.586	  ENTER	    37 	      4 	      3 	    415 	      1 
  451.475	  ENTER	    38 	      7 	      3 	    415 	      1 
  452.603	  ENTER	    39 	      3 	      3 	    415 	      1 
  465.702	  ENTER	    40 	      2 	      3 	    415 	      1 
  467.291	  ENTER	    41 	      3 	      3 	    415 	      1 
  467.881	  ENTER	    42 	      1 	      3 	    415 	      1 
  469.392	  ENTER	    43 	      6 	      3 	    415 	      1 
  469.864	  ENTER	    44 	      5 	      3 	    415 	      1 
  480.000	   EXIT	    24 	      5 	      2 	    164 	     10 
  480.000	   EXIT	    25 	      5 	      6 	    156 	      4 
  480.000	   EXIT	    26 	      5 	      3 	    140 	      1 
  480.000	  LEAVE	     8 	      5 	      5 	    470 	      1 
  504.312	  ENTER	    45 	      2 	      5 	    470 	      1 
  509.463	  ENTER	    46 	      3 	      5 	    470 	      1 
  540.000	   EXIT	    27 	      3 	      6 	    198 	      6 
  540.000	   EXIT	    28 	      3 	      5 	    190 	      1 
  540.000	  LEAVE	     9 	      3 	      3 	    509 	      1 
  600.000	   EXIT	    29 	      3 	      7 	    238 	      5 
  600.000	   EXIT	    30 	      3 	      2 	    207 	      3 
  600.000	   EXIT	    31 	      3 	      1 	    192 	      2 
  600.000	   EXIT	    32 	      3 	      1 	    132 	      1 
  600.000	  LEAVE	    10 	      3 	      3 	    509 	      1 
SUMMARY STATISTICS
POISSON[2]:
 Time Ave. = 	  3.402 Time Sample Var. =	  1.361
 Event Ave. =	  3.545 Event Sample Var. =	  1.839
 Minimum =	      0
 Maximum =	      7
VARS[4]:
 Time Ave. = 	   3.48 Time Sample Var. =	 0.6096
 Event Ave. =	  3.602 Event Sample Var. =	  1.421
 Minimum =	      1
 Maximum =	      7
WAIT[VARS[5]]:
 Time Ave. = 	  356.9 Time Sample Var. =	3.3e+04
 Event Ave. =	  198.3 Event Sample Var. =	2.151e+04
 Minimum =	      0
 Maximum =	  509.5
VARS[1]:
 Time Ave. = 	   1.24 Time Sample Var. =	 0.4224
 Event Ave. =	   2.42 Event Sample Var. =	  5.653
 Minimum =	      1
 Maximum =	     10
