    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	          RATIO[0] 
    5.551	 DELIVER	     1 	   2.17 	   5.55 	      0 
    8.842	 DELIVER	     2 	   2.04 	    7.7 	      0 
   12.927	 DELIVER	     3 	   1.77 	   7.29 	      0 
   13.956	 DELIVER	     4 	   1.91 	   6.71 	      0 
   25.149	 DELIVER	     5 	  0.642 	   5.19 	      0 
   28.500	 DELIVER	     6 	      2 	      7 	      0 
   29.378	 DELIVER	     7 	  0.947 	   5.23 	      0 
   30.966	 DELIVER	     8 	   2.94 	    7.7 	      0 
   35.647	 DELIVER	     9 	   2.56 	   8.52 	      0 
   36.376	 DELIVER	    10 	   1.64 	   7.53 	      0 
   37.417	 DELIVER	    11 	   0.68 	   6.19 	      0 
   38.544	 DELIVER	    12 	    2.8 	   8.11 	      0 
   40.094	 DELIVER	    13 	   2.78 	   7.93 	      0 
   41.077	 DELIVER	    14 	   2.77 	   8.21 	      0 
   41.356	 DELIVER	    15 	  0.709 	   7.25 	      0 
   42.282	 DELIVER	    16 	   1.71 	   7.45 	      0 
   46.082	 DELIVER	    17 	   0.42 	   5.39 	      0 
   48.967	 DELIVER	    18 	      2 	   7.93 	      0 
   53.778	 DELIVER	    19 	   1.35 	   7.11 	      0 
   56.006	 DELIVER	    20 	    2.1 	   9.49 	      0 
   58.337	 DELIVER	    21 	  0.902 	   8.27 	      0 
   58.359	 DELIVER	    22 	   1.97 	   8.22 	      0 
   58.703	 DELIVER	    23 	   1.68 	   5.37 	      0 
   61.860	 DELIVER	    24 	  0.773 	   6.69 	      0 
   64.288	 DELIVER	    25 	  0.809 	   5.57 	      0 
   67.380	 DELIVER	    26 	   2.43 	   7.78 	      0 
   70.287	 DELIVER	    27 	   2.43 	   62.5 	      0 
   70.626	 DELIVER	    28 	   1.29 	   10.9 	      0 
   70.679	 DELIVER	    29 	  0.538 	   10.4 	      0 
   70.735	 DELIVER	    30 	   0.68 	   10.4 	      0 
   72.917	 DELIVER	    31 	   2.96 	   11.6 	      0 
   73.973	 DELIVER	    32 	  0.519 	   12.5 	      0 
