Interarrival (B),Interarrival (I),Toppings,Cooking,Finishing
0:00:00,0:59:00,2:20:00,5:22:00,0:21:00
0:21:00,0:10:00,2:41:00,4:37:00,1:32:00
0:39:00,1:05:00,3:00:00,5:56:00,1:09:00
0:10:00,0:00:00,1:53:00,4:56:00,0:29:00
0:30:00,0:49:00,2:55:00,4:42:00,0:26:00
2:02:00,0:00:00,2:33:00,5:13:00,1:29:00
0:09:00,2:21:00,2:58:00,5:16:00,0:55:00
0:46:00,5:04:00,2:18:00,5:03:00,0:43:00
1:07:00,4:28:00,2:43:00,5:14:00,3:10:00
0:00:00,0:00:00,2:25:00,5:35:00,1:22:00
0:12:00,1:12:00,1:33:00,4:20:00,0:58:00
1:45:00,0:40:00,0:39:00,4:19:00,0:58:00
2:24:00,4:35:00,2:13:00,4:05:00,0:56:00
0:16:00,4:49:00,0:55:00,4:28:00,2:40:00
0:00:00,2:30:00,1:41:00,5:18:00,0:32:00
2:07:00,2:23:00,1:10:00,2:57:00,1:09:00
1:44:00,2:28:00,1:29:00,3:20:00,1:05:00
0:00:00,0:34:00,2:55:00,3:34:00,0:46:00
0:00:00,0:00:00,2:41:00,4:40:00,0:42:00
0:00:00,0:23:00,2:36:00,3:59:00,0:47:00
0:28:00,5:43:00,2:14:00,4:18:00,0:25:00
0:00:00,3:51:00,0:46:00,4:37:00,0:20:00
0:00:00,1:09:00,2:11:00,4:40:00,0:19:23
0:29:00,5:41:00,0:50:00,2:56:00,0:20:00
0:16:00,3:49:00,1:56:00,3:29:00,0:33:00
0:15:00,4:13:00,1:39:00,3:28:00,1:06:00
0:55:00,5:26:00,1:28:00,3:22:00,1:22:00
2:45:00,0:45:00,0:22:00,3:01:00,0:51:00
1:12:00,1:30:00,1:22:00,4:07:00,0:30:00
1:48:00,8:17:00,1:13:00,4:02:00,0:34:00
